epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,928.138,1.07022,0.55176,0.99314,0.92004,0.94385,0.97571,0.72703,1.14104,0.4883,1.01405,0.0013994,0.0013994,0.0013994
93,936.65,1.04915,0.53758,0.99115,0.92524,0.93663,0.97589,0.72971,1.14087,0.49585,1.01506,0.0013928,0.0013928,0.0013928
94,944.992,1.05483,0.53409,0.99176,0.91711,0.94727,0.97344,0.7302,1.19559,0.50279,1.04471,0.0013862,0.0013862,0.0013862
95,953.442,1.03988,0.53353,0.9869,0.92274,0.94287,0.97533,0.72559,1.20272,0.49887,1.03659,0.0013796,0.0013796,0.0013796
96,961.785,1.05416,0.54223,0.98648,0.91556,0.95292,0.97529,0.73139,1.1522,0.49367,1.01727,0.001373,0.001373,0.001373
97,970.181,1.0426,0.5347,0.99117,0.91758,0.9541,0.97878,0.73197,1.10836,0.48819,1.00492,0.0013664,0.0013664,0.0013664
98,978.58,1.03289,0.52545,0.98144,0.92301,0.94251,0.97853,0.7384,1.13854,0.48797,1.01896,0.0013598,0.0013598,0.0013598
99,987.154,1.04409,0.5298,0.98718,0.92668,0.94922,0.97843,0.73452,1.12883,0.48066,1.01426,0.0013532,0.0013532,0.0013532
100,995.571,1.04136,0.53154,0.98798,0.91224,0.94873,0.9776,0.73822,1.11013,0.48236,1.00185,0.0013466,0.0013466,0.0013466
101,1004.05,1.03007,0.53914,0.98705,0.92143,0.94489,0.97816,0.73435,1.11726,0.48886,1.00561,0.00134,0.00134,0.00134
102,1012.52,1.04186,0.53542,0.98479,0.92329,0.94035,0.97478,0.7247,1.17179,0.48665,1.02635,0.0013334,0.0013334,0.0013334
103,1020.97,1.03406,0.53153,0.98876,0.91878,0.94434,0.97494,0.72999,1.11894,0.48661,1.00844,0.0013268,0.0013268,0.0013268
104,1029.45,1.03421,0.53089,0.98287,0.92061,0.94561,0.97737,0.72658,1.17111,0.49336,1.0324,0.0013202,0.0013202,0.0013202
105,1037.96,1.04096,0.53684,0.98177,0.9163,0.95361,0.97929,0.73463,1.11545,0.48312,1.00897,0.0013136,0.0013136,0.0013136
106,1046.37,1.02304,0.52544,0.98018,0.92616,0.93704,0.97571,0.73179,1.1344,0.48733,1.02061,0.001307,0.001307,0.001307
107,1054.61,1.01524,0.52426,0.98065,0.92882,0.93799,0.97748,0.73157,1.14592,0.48926,1.02231,0.0013004,0.0013004,0.0013004
108,1062.94,1.04905,0.5327,0.99077,0.92596,0.9404,0.97665,0.73553,1.11369,0.47987,1.00747,0.0012938,0.0012938,0.0012938
109,1071.3,1.0505,0.53542,0.98717,0.92607,0.93577,0.97646,0.73085,1.13281,0.4954,1.01757,0.0012872,0.0012872,0.0012872
110,1079.91,1.04333,0.5284,0.98708,0.9182,0.94873,0.97901,0.73467,1.12982,0.49212,1.00392,0.0012806,0.0012806,0.0012806
111,1088.23,1.02999,0.52196,0.98613,0.91966,0.94465,0.97658,0.73625,1.13984,0.4881,1.01506,0.001274,0.001274,0.001274
112,1096.91,1.03118,0.52691,0.98192,0.91387,0.94824,0.97516,0.73223,1.12698,0.48444,1.00766,0.0012674,0.0012674,0.0012674
113,1105.35,1.03738,0.52516,0.982,0.92501,0.93963,0.97541,0.73298,1.10487,0.47894,1.00314,0.0012608,0.0012608,0.0012608
114,1113.93,1.03625,0.52595,0.98157,0.90995,0.95361,0.97722,0.74126,1.10496,0.47854,1.00566,0.0012542,0.0012542,0.0012542
115,1122.46,1.0245,0.52024,0.97046,0.92305,0.94295,0.97903,0.74239,1.10102,0.49094,1.00487,0.0012476,0.0012476,0.0012476
116,1131.14,1.03659,0.53228,0.98437,0.90631,0.95361,0.97351,0.72748,1.16543,0.48801,1.02942,0.001241,0.001241,0.001241
117,1139.51,1.02341,0.51282,0.97359,0.91043,0.9541,0.97658,0.74102,1.10713,0.48238,1.00778,0.0012344,0.0012344,0.0012344
118,1148.25,1.03561,0.52487,0.98007,0.92009,0.9502,0.97751,0.74112,1.10844,0.47589,1.01073,0.0012278,0.0012278,0.0012278
